Obec;Okres;Kraj
Abelova;Okres Lucenec;Banskobystricky kraj
Abovce;Okres Rimavska Sobota;Banskobystricky kraj
Abraham;Okres Galanta;Trnavsky kraj
Abrahamovce, okres Bardejov;Okres Bardejov;Presovsky kraj
Abrahamovce, okres Kezmarok;Okres Kezmarok;Presovsky kraj
Abramova;Okres Turcianske Teplice;Zilinsky kraj
Abranovce;Okres Presov;Presovsky kraj
Adamovske Kochanovce;Okres Trencin;Trenciansky kraj
Adidovce;Okres Humenne;Presovsky kraj
Aleksince;Okres Nitra;Nitriansky kraj
Andovce;Okres Nove Zamky;Nitriansky kraj
Andrejova;Okres Bardejov;Presovsky kraj
Ardanovce;Okres Topolcany;Nitriansky kraj
Ardovo;Okres Roznava;Kosicky kraj
Arnutovce;Okres Spisska Nova Ves;Kosicky kraj
Bab;Okres Nitra;Nitriansky kraj
Babie;Okres Vranov nad Toplou;Presovsky kraj
Babin;Okres Namestovo;Zilinsky kraj
Babina;Okres Zvolen;Banskobystricky kraj
Babindol;Okres Nitra;Nitriansky kraj
Babinec;Okres Rimavska Sobota;Banskobystricky kraj
Bac;Okres Dunajska Streda;Trnavsky kraj
Backa;Okres Trebisov;Kosicky kraj
Backov;Okres Trebisov;Kosicky kraj
Backovik;Okres Kosice - okolie;Kosicky kraj
Bacuch;Okres Brezno;Banskobystricky kraj
Bacurov;Okres Zvolen;Banskobystricky kraj
Badan;Okres Banska Stiavnica;Banskobystricky kraj
Badice;Okres Nitra;Nitriansky kraj
Badin;Okres Banska Bystrica;Banskobystricky kraj
Bahon;Okres Pezinok;Bratislavsky kraj
Bajany;Okres Michalovce;Kosicky kraj
Bajc;Okres Komarno;Nitriansky kraj
Bajerov;Okres Presov;Presovsky kraj
Bajerovce;Okres Sabinov;Presovsky kraj
Bajka;Okres Levice;Nitriansky kraj
Bajtava;Okres Nove Zamky;Nitriansky kraj
Baka;Okres Dunajska Streda;Trnavsky kraj
Balaze;Okres Banska Bystrica;Banskobystricky kraj
Baldovce;Okres Levoca;Presovsky kraj
Balog nad Iplom;Okres Velky Krtis;Banskobystricky kraj
Balon;Okres Dunajska Streda;Trnavsky kraj
Bana;Okres Stropkov;Presovsky kraj
Banka;Okres Piestany;Trnavsky kraj
Banov;Okres Nove Zamky;Nitriansky kraj
